Stance on NN,Networking,Format,Date Received,Type of Filing,Submission Type,Proceeding ID,Filing URL,Name of Filers(s),Comment Text,Total Page Count,Source,Memo,Date in the Document,Network 1,Network 2,Network 3,Network 4,Network 5,Network 6,Network 7,Network 8,Network 9,Network 10,Network 11,Network 12,Network 13,Network 14,Network 15,Network 16,Network 17,Network 18
Pro,Network,In person,3/10/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515015819,Consumer Federation of America andConsumers Union,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5515015819/1,,"Marcy 4, 2008",Consumer Federation of America,Consumers Union,,,,,,,,,,,,,,,,
Pro,Network,In person,1/15/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514974654,Public Knowledge and Free Press,Refer to Attachment(s).,16,https://www.fcc.gov/ecfs/document/5514974654/1,,"January 15, 2008",Free Press,Public Knowledge,,,,,,,,,,,,,,,,
Pro,Network,In person,2/19/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514993223,Free Press,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5514993223/1,,"February 15, 2008",Free Press,"Tim Wu, Columbia Law School",,,,,,,,,,,,,,,,
Pro,Network,In person,2/22/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514993635,Public Knowledge and Free Press,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5514993635/1,,"February 22, 2008",Free Press,Public Knowledge,,,,,,,,,,,,,,,,
Pro,Network,In person,3/21/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515018645,"Free Press, Google, Amazon, Public Knolwedge",Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5515018645/1,,"March 21, 2008",Free Press,Public Knowledge,Amazon,Google,,,,,,,,,,,,,,
Pro,Network,In person,5/15/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515159326,"Public Knowledge, Free Press, Media Access Project, and New America Foundation",Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5515159326/1,,"May 15, 2008",Free Press,Public Knowledge,Media Access Project,New America Foundation,,,,,,,,,,,,,,
Pro,Network,In person,7/21/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515183193,Free Press,Refer to Attachment(s).,5,https://www.fcc.gov/ecfs/document/5515183193/1,,"July 18, 2008",Free Press,Public Knowledge,Media Access Project,"David Vladeck, Georgetown University Law Center","Tim Wu, Columbia Law School","Amanda Leiter, Catholic University Law School","John Blevins, South Texas College of Law",,,,,,,,,,,
Pro,Network,In person,7/24/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515183673,Free Press and Media Access Project,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5515183673/1,,7/23/2008,Free Press,Media Access Project,,,,,,,,,,,,,,,,
Pro,Network,In person,5/1/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515156926,Free Press,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5515156926/1,,"April 30, 2008",Open Internet Coalition,Free Press,Public Knowledge,Skype,Google,,,,,,,,,,,,,
Pro,Network,In person,7/25/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515183862,Open Internet Coalition,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515183862/1,,"July 24, 2008",Open Internet Coalition,Free Press,eBay,Consumers Union,IAC,Computer & Communications Industry Association,,,,,,,,,,,,
Pro,Network,In person,7/17/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515183004,Public Interest Spectrum Coalition,Refer to Attachment(s).,4,https://www.fcc.gov/ecfs/document/5515183004/1,Public Interest Spectrum Coalition,"July 16, 2008",Media Access Project,Public Knowledge,New America Foundation,,,,,,,,,,,,,,,
Pro,Network,In person,11/20/2007,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514966497,Free Press,Refer to Attachment(s).,3,https://www.fcc.gov/ecfs/document/5514966497/1,,11/19/2007,Free Press,Marvin Ammori,,,,,,,,,,,,,,,,
Pro,Network,In person,2/7/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514991199,Free Press,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5514991199/1,,2/7/2008,Free Press,Marvin Ammori,,,,,,,,,,,,,,,,
Pro,Network,In person,6/12/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515176753,Free Press,Refer to Attachment(s).,112,https://www.fcc.gov/ecfs/document/5515176753/1,,6/11/2008,Free Press,Marvin Ammori,,,,,,,,,,,,,,,,
Pro,Network,In person,7/24/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515183675,Free Press,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5515183675/1,,7/23/2008,Free Press,Marvin Ammori,,,,,,,,,,,,,,,,
Pro (Neutral),Solo,In person,6/11/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515175551,Audible Magic Corp.,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515175551/1,,6/10/2008,Audible Magic Corp.,,,,,,,,,,,,,,,,,
Pro (Neutral),Solo,In person,6/13/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515177805,Audible Magic Corp.,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515177805/1,,6/12/2008,Audible Magic Corp.,,,,,,,,,,,,,,,,,
Pro,Solo,In person,6/4/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515161727,Center for Democracy & Technology,Refer to Attachment(s).,19,https://www.fcc.gov/ecfs/document/5515161727/1,,6/4/2008,Center for Democracy & Technology,,,,,,,,,,,,,,,,,
Pro,Solo,In person,6/5/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515161924,Center for Democracy & Technology,Refer to Attachment(s).,19,https://www.fcc.gov/ecfs/document/5515161924/1,,6/5/2008,Center for Democracy & Technology,,,,,,,,,,,,,,,,,
Pro,Solo,In person,6/13/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515177708,Center for Democracy & Technology,Refer to Attachment(s).,19,https://www.fcc.gov/ecfs/document/5515177708/1,,6/13/2008,Center for Democracy & Technology,,,,,,,,,,,,,,,,,
Pro,Solo,In person,6/17/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515179160,Center for Democracy & Technology,Refer to Attachment(s).,19,https://www.fcc.gov/ecfs/document/5515179160/1,,6/17/2008,Center for Democracy & Technology,,,,,,,,,,,,,,,,,
Pro,Solo,In person,10/15/2007,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514892949,"Data Foundry, Inc.",Refer to Attachment(s).,18,https://www.fcc.gov/ecfs/document/5514892949/1,,,Data Foundry,,,,,,,,,,,,,,,,,
Pro,Solo,In person,3/17/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515017775,Free Press,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515017775/1,,3/13/2008,Free Press,,,,,,,,,,,,,,,,,
Pro,Solo,In person,6/23/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515180202,Free Press,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5515180202/1,,6/19/2008,Free Press,,,,,,,,,,,,,,,,,
Pro,Solo,In person,3/25/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515019356,Media Access Project,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5515019356/1,,3/20/2008,Media Access Project,,,,,,,,,,,,,,,,,
Pro,Solo,In person,5/20/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515159904,Skype Communications S.A.R.L.,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515159904/1,,5/19/2008,Skype,,,,,,,,,,,,,,,,,
Pro,Solo,In person,11/14/2007,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514964131,"Vuze, Inc.",Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5514964131/1,,11/13/2007,Vuze,,,,,,,,,,,,,,,,,
Pro,Solo,In person,11/14/2007,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514964135,"Vuze, Inc.",Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5514964135/1,,11/14/2007,Vuze,,,,,,,,,,,,,,,,,
Pro,Solo,In person,11/21/2007,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514966725,"Vuze, Inc.",Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5514966725/1,,11/21/2007,Vuze,,,,,,,,,,,,,,,,,
Pro,Solo,In person,4/1/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515020379,"Vuze, Inc.",Refer to Attachment(s).,3,https://www.fcc.gov/ecfs/document/5515020379/1,,3/31/2008,Vuze,,,,,,,,,,,,,,,,,
Pro,Solo,In person,4/18/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515043984,"Vuze, Inc.",Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515043984/1,,4/17/2008,Vuze,,,,,,,,,,,,,,,,,
Anti,Network,In person,2/25/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514994226,AT&T,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5514994226/1,,"February 25, 2008",AT&T,Verizon,,,,,,,,,,,,,,,,
Anti,Network,In person,7/18/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515183140,Comcast Corporation,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515183140/1,,"July 18, 2008",Comcast,National Cable & Telecommunications Association,,,,,,,,,,,,,,,,
Anti,Network,In person,7/13/2007,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514707709,"Criterion Economics, L.L.C.",Refer to Attachment(s).,62,https://www.fcc.gov/ecfs/document/5514707709/1,,7/12/2007,Criterion Economics,"Gerald Faulhaber, Wharton School, UPenn",,,,,,,,,,,,,,,,
Anti,Network,In person,5/16/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515159467,Distributed Computing Industry Association-DCIA,Refer to Attachment(s).,10,https://www.fcc.gov/ecfs/document/5515159467/1,,"May 15, 2008",Distributed Computing Industry Association,P4P Working Group,,,,,,,,,,,,,,,,
Anti,Network,In person,5/16/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515159467,Distributed Computing Industry Association-DCIA,Refer to Attachment(s).,10,https://www.fcc.gov/ecfs/document/5515159467/1,,5/15/2008,Distributed Computing Industry Association,P4P Working Group,,,,,,,,,,,,,,,,
