Stance on NN,Networking,format,Date Received,Type of Filing,Submission Type,Proceeding ID,Filing URL,Name of Filers(s),Comment Text,Total Page Count,Source,Memo,Date in the Document,Network 1,Network 2,Network 3,Network 4,Network 5,Network 6,Network 7,Network 8,Network 9,Network 10,Network 11,Network 12,Network 13,Network 14,Network 15,Network 16,Network 17,Network 18,Network 19,Network 20,Network 21,Network 22,Network 23,Network 24,Network 25,Network 26,Network 27,Network 28,Network 29,Network 30,Network 31,Network 32,Network 33,Network 34,Network 35,Network 36,Network 37,Network 38,Network 39,Network 40,Network 41,Network 42,Network 43,Network 44,Network 45,Network 46,Network 47,Network 48,Network 49,Network 50,Network 51,Network 52,Network 53,Network 54,Network 55,Network 56,Network 57,Network 58,Network 59,Network 60,Network 61,Network 62,Network 63,Network 64,Network 65,Network 66,Network 67,Network 68,Network 69,Network 70,Network 71,Network 72,Network 73,Network 74,Network 75,Network 76,Network 77,Network 78,Network 79,Network 80,Network 81,Network 82,Network 83,Network 84,Network 85,Network 86,Network 87,Network 88,Network 89,Network 90,Network 91,Network 92,Network 93,Network 94,Network 95,Network 96,Network 97,Network 98,Network 99,Network 100,Network 101,Network 102,Network 103,Network 104,Network 105,Network 106,Network 107,Network 108,Network 109,Network 110,Network 111,Network 112,Network 113,Network 114,Network 115,Network 116,Network 117,Network 118,Network 119,Network 120,Network 121,Network 122,Network 123,Network 124,Network 125,Network 126,Network 127,Network 128,Network 129,Network 130,Network 131,Network 132,Network 133,Network 134,Network 135,Network 136,Network 137,Network 138,Network 139,Network 140,Network 141,Network 142,Network 143,Network 144,Network 145,Network 146,Network 147,Network 148,Network 149,Network 150,Network 151,Network 152,Network 153,Network 154,Network 155,Network 156,Network 157,Network 158,Network 159,Network 160,Network 161,Network 162,Network 163,Network 164,Network 165,Network 166,Network 167,Network 168,Network 169,Network 170,Network 171,Network 172,Network 173,Network 174,Network 175,Network 176,Network 177,Network 178,Network 179,Network 180,Network 181,Network 182,Network 183,Network 184,Network 185,Network 186
Pro,Network,In person,10/11/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/1011451627795,"AACC, AASCU, ACE, AAU, APLU, ARL, EDUCAUSE, NACUBO, and NAICU",Refer to Attachment(s).,3,https://www.fcc.gov/ecfs/document/1011451627795/1,,10/11/2017,American Council on Education,EDUCAUSE,Association of American Universities,Association of Research Libraries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Network,In person,10/19/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/101949979905,"Open Technology Institute, Free Press",Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/101949979905/1,,10/16/2017,Free Press,New America Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Network,In person,10/26/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/1026031823429,"Open Technology Institute, Free Press",Refer to Attachment(s).,5,https://www.fcc.gov/ecfs/document/1026031823429/1,,10/23/2017,Free Press,New America Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Network,In person,12/9/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/1209116405935,"Free Press, Open Technology Institute",Refer to Attachment(s).,53,https://www.fcc.gov/ecfs/document/1209116405935/1,,12/8/2017,Free Press,New America Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Network,In person,9/11/2017,NOTICE OF EXPARTE,STANDARD,"17-79, 17-84, 17-108, 17-83",https://www.fcc.gov/ecfs/search/search-filings/filing/109110283108218,"City of Boston, Massachusetts",Refer to Attachment(s).,14,https://www.fcc.gov/ecfs/document/109110283108218/1,,9/7/2017,"Miguel Gamino, Chief Technology Officer of New York City","Michael Mattmiller, Chief Technology Officer of Seattle","Linda Gerull, Chief Technology Officer of San Francisco","Archana Vemulapalli, Chief Technology Officer of the District of Columbia","Stephen Elkins, Chief Information Officer of Austin, Texas","Mike Lynch, Boston Cable Administrator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,10/11/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/101197449294,ADT Corporation,Refer to Attachment(s).,10,https://www.fcc.gov/ecfs/document/101197449294/1,,10/10/2017,ADT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,10/13/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/10131634211802,ADT Corporation,Refer to Attachment(s).,11,https://www.fcc.gov/ecfs/document/10131634211802/1,,10/12/2017,ADT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,12/1/2017,COMMENT,STANDARD,"17-108, 14-177, 15-256, RM-11664, 10-112, 97-95",https://www.fcc.gov/ecfs/search/search-filings/filing/120147942689,Amazon,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/120147942689/1,,,Amazon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,11/13/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/1113015198702,Association of Research Libraries,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/1113015198702/1,,11/8/2017,Association of Research Libraries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Solo,In person,11/20/2017,NOTICE OF EXPARTE,STANDARD,17-108,https://www.fcc.gov/ecfs/search/search-filings/filing/1120041825514,Computer & Communications Industry Association (CCIA),Refer to Attachment(s).,7,https://www.fcc.gov/ecfs/document/1120041825514/1,,,Computer & Communications Industry Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
